Date,LLM Response
03_26_2024,"{""Consumer Discretionary"":0.12,""Consumer Staples"":0.18,""Energy"":0.22,""Financials"":0.15,""Health Care"":0.08,""Industrials"":0.04,""Information Technology"":0.10,""Materials"":0.14,""Real Estate"":-0.22,""Utilities"":0.02,""Communication Services"":0.06}"
03_26_2025,"{""Communication Services"":-0.05,""Consumer Discretionary"":-0.3,""Consumer Staples"":-0.15,""Energy"":0.2,""Financials"":-0.1,""Health Care"":0.0,""Industrials"":-0.2,""Information Technology"":-0.15,""Materials"":-0.35,""Real Estate"":-0.3,""Utilities"":-0.05}"
03_27_2024,"{
  ""Consumer Discretionary"": 0.2,
  ""Consumer Staples"": 0.05,
  ""Energy"": 0.35,
  ""Financials"": 0.2,
  ""Health Care"": 0.25,
  ""Industrials"": 0.15,
  ""Information Technology"": 0.1,
  ""Materials"": 0.3,
  ""Real Estate"": 0.0,
  ""Communication Services"": 0.05,
  ""Utilities"": 0.1
}"
03_27_2025,"{""Communication Services"":0.05,""Consumer Discretionary"":-0.72,""Consumer Staples"":-0.15,""Energy"":-0.25,""Financials"":-0.18,""Health Care"":-0.12,""Industrials"":-0.48,""Information Technology"":-0.28,""Materials"":-0.22,""Real Estate"":-0.08,""Utilities"":-0.05}"
03_28_2024,"{
  ""Information Technology"": 0.45,
  ""Health Care"": 0.4,
  ""Financials"": 0.18,
  ""Consumer Discretionary"": 0.35,
  ""Consumer Staples"": 0.05,
  ""Energy"": 0.12,
  ""Industrials"": 0.22,
  ""Materials"": -0.05,
  ""Utilities"": -0.08,
  ""Real Estate"": -0.12,
  ""Communication Services"": 0.3,
  ""S&P 500"": 0.28
}"
03_28_2025,"{""Communication Services"":0.1,""Consumer Discretionary"":-0.7,""Consumer Staples"":-0.2,""Energy"":-0.1,""Financials"":0.2,""Health Care"":0.4,""Industrials"":-0.1,""Information Technology"":-0.8,""Materials"":0.1,""Real Estate"":-0.2,""Utilities"":-0.4}"
03_31_2025,"{
  ""Information Technology"": -0.2,
  ""Health Care"": -0.05,
  ""Financials"": 0.05,
  ""Consumer Discretionary"": -0.75,
  ""Consumer Staples"": -0.25,
  ""Energy"": -0.1,
  ""Industrials"": -0.6,
  ""Materials"": -0.65,
  ""Utilities"": -0.15,
  ""Real Estate"": -0.35,
  ""Communication Services"": -0.45
}"
04_01_2024,"{""Communication Services"":0.35,""Consumer Discretionary"":0.45,""Consumer Staples"":0.1,""Energy"":0.8,""Financials"":0.55,""Health Care"":0.25,""Industrials"":0.4,""Information Technology"":0.3,""Materials"":0.7,""Real Estate"":0.15,""Utilities"":0.2}"
04_01_2025,"{""Communication Services"":-0.6,""Consumer Discretionary"":-0.8,""Consumer Staples"":-0.3,""Energy"":-0.4,""Financials"":-0.2,""Health Care"":-0.1,""Industrials"":-0.7,""Information Technology"":-0.5,""Materials"":-0.6,""Real Estate"":-0.4,""Utilities"":-0.1}"
04_02_2024,"{""Information Technology"":0.1,""Health Care"":0.3,""Financials"":0.15,""Consumer Discretionary"":-0.15,""Communication Services"":0.0,""Industrials"":0.05,""Consumer Staples"":-0.1,""Energy"":0.75,""Utilities"":-0.05,""Real Estate"":-0.2,""Materials"":0.55}"
04_02_2025,"{
  ""information_technology"": -0.38,
  ""health_care"": -0.18,
  ""financials"": -0.22,
  ""consumer_discretionary"": -0.41,
  ""consumer_staples"": -0.08,
  ""energy"": 0.05,
  ""industrials"": -0.49,
  ""materials"": -0.47,
  ""utilities"": -0.12,
  ""real_estate"": -0.16,
  ""communication_services"": -0.36
}"
04_03_2024,"{
  ""consumer_discretionary"": -0.1,
  ""consumer_staples"": 0.0,
  ""energy"": 0.75,
  ""financials"": 0.1,
  ""health_care"": 0.15,
  ""industrials"": 0.25,
  ""information_technology"": -0.05,
  ""materials"": 0.6,
  ""real_estate"": -0.45,
  ""communication_services"": -0.1,
  ""utilities"": -0.2
}"
04_04_2024,"{""Communication Services"":0.15,""Consumer Discretionary"":0.05,""Consumer Staples"":-0.05,""Energy"":0.35,""Financials"":0.1,""Health Care"":0.0,""Industrials"":0.05,""Information Technology"":0.2,""Materials"":0.15,""Real Estate"":-0.1,""Utilities"":0.0}"
04_04_2025,"{""Communication Services"":-0.75,""Consumer Discretionary"":-0.95,""Consumer Staples"":-0.35,""Energy"":-0.8,""Financials"":-0.7,""Health Care"":-0.55,""Industrials"":-0.85,""Information Technology"":-0.95,""Materials"":-0.8,""Real Estate"":-0.7,""Utilities"":-0.25}"
04_05_2024,"{""Communication Services"":0.2,""Consumer Discretionary"":0.15,""Consumer Staples"":-0.05,""Energy"":0.75,""Financials"":0.2,""Health Care"":0.1,""Industrials"":0.25,""Information Technology"":0.05,""Materials"":0.35,""Real Estate"":-0.15,""Utilities"":0.0}"
04_06_2025,"{""Communication Services"":0.1,""Consumer Discretionary"":-0.85,""Consumer Staples"":-0.4,""Energy"":-0.8,""Financials"":-0.7,""Health Care"":-0.15,""Industrials"":-0.75,""Information Technology"":-0.9,""Materials"":-0.6,""Real Estate"":-0.45,""Utilities"":-0.35}"
04_07_2025,"{
  ""Information Technology"": -0.75,
  ""Health Care"": -0.15,
  ""Financials"": -0.85,
  ""Consumer Discretionary"": -0.95,
  ""Consumer Staples"": -0.35,
  ""Energy"": -0.7,
  ""Industrials"": -0.8,
  ""Materials"": -0.65,
  ""Utilities"": -0.2,
  ""Real Estate"": -0.3,
  ""Communication Services"": -0.7
}"
04_08_2024,"{""Communication Services"":0.3,""Consumer Discretionary"":0.35,""Consumer Staples"":0.05,""Energy"":0.45,""Financials"":0.15,""Health Care"":0.0,""Industrials"":0.1,""Information Technology"":0.25,""Materials"":0.2,""Real Estate"":-0.15,""Utilities"":-0.05}"
04_08_2025,"{
  ""Communication Services"": 0.12,
  ""Consumer Discretionary"": -0.78,
  ""Consumer Staples"": -0.18,
  ""Energy"": -0.31,
  ""Financials"": -0.64,
  ""Health Care"": 0.28,
  ""Industrials"": -0.67,
  ""Information Technology"": -0.73,
  ""Materials"": -0.56,
  ""Real Estate"": -0.22,
  ""Utilities"": 0.05
}"
04_09_2024,"[
  {
    ""sector"": ""Information Technology"",
    ""sentiment"": 0.55
  },
  {
    ""sector"": ""Communication Services"",
    ""sentiment"": 0.35
  },
  {
    ""sector"": ""Consumer Discretionary"",
    ""sentiment"": 0.15
  },
  {
    ""sector"": ""Consumer Staples"",
    ""sentiment"": 0.1
  },
  {
    ""sector"": ""Energy"",
    ""sentiment"": 0.45
  },
  {
    ""sector"": ""Financials"",
    ""sentiment"": 0.2
  },
  {
    ""sector"": ""Health Care"",
    ""sentiment"": 0.05
  },
  {
    ""sector"": ""Industrials"",
    ""sentiment"": 0.1
  },
  {
    ""sector"": ""Materials"",
    ""sentiment"": 0.5
  },
  {
    ""sector"": ""Real Estate"",
    ""sentiment"": 0.25
  },
  {
    ""sector"": ""Utilities"",
    ""sentiment"": 0.05
  }
]"
04_10_2024,"{
  ""Information Technology"": 0.35,
  ""Health Care"": 0.05,
  ""Financials"": 0.1,
  ""Consumer Discretionary"": 0.22,
  ""Consumer Staples"": -0.05,
  ""Energy"": 0.6,
  ""Utilities"": -0.1,
  ""Industrials"": 0.15,
  ""Materials"": 0.48,
  ""Real Estate"": -0.25,
  ""Communication Services"": 0.18
}"
04_11_2024,"{
  ""Consumer Discretionary"": -0.2,
  ""Consumer Staples"": 0.1,
  ""Energy"": 0.15,
  ""Financials"": -0.45,
  ""Health Care"": -0.15,
  ""Industrials"": -0.25,
  ""Information Technology"": -0.05,
  ""Materials"": -0.1,
  ""Real Estate"": -0.5,
  ""Utilities"": -0.1,
  ""Communication Services"": -0.05
}"
04_11_2025,"{
  ""S&P_500"": 0.15,
  ""Information_Technology"": -0.3,
  ""Communication_Services"": -0.05,
  ""Consumer_Discretionary"": -0.45,
  ""Consumer_Staples"": 0.25,
  ""Health_Care"": 0.05,
  ""Financials"": 0.55,
  ""Industrials"": -0.15,
  ""Materials"": -0.2,
  ""Energy"": 0.3,
  ""Utilities"": 0.1,
  ""Real_Estate"": -0.1
}"
04_12_2024,"{""Communication Services"":0.18,""Consumer Discretionary"":0.12,""Consumer Staples"":0.05,""Energy"":0.52,""Financials"":0.19,""Health Care"":0.08,""Industrials"":0.16,""Information Technology"":0.31,""Materials"":0.44,""Real Estate"":-0.04,""Utilities"":0.02}"
04_14_2025,"{
  ""Communication Services"": 0.05,
  ""Consumer Discretionary"": -0.25,
  ""Consumer Staples"": -0.1,
  ""Energy"": -0.05,
  ""Financials"": 0.35,
  ""Health Care"": -0.15,
  ""Industrials"": -0.2,
  ""Information Technology"": 0.2,
  ""Materials"": -0.1,
  ""Real Estate"": -0.2,
  ""Utilities"": -0.05
}"
04_15_2025,"{
  ""Communication Services"": 0.2,
  ""Consumer Discretionary"": -0.35,
  ""Consumer Staples"": 0.05,
  ""Energy"": -0.1,
  ""Financials"": 0.3,
  ""Health Care"": -0.25,
  ""Industrials"": -0.45,
  ""Information Technology"": -0.2,
  ""Materials"": -0.3,
  ""Real Estate"": 0.0,
  ""Utilities"": 0.05
}"
04_16_2024,"{
  ""Consumer Discretionary"": 0.3,
  ""Consumer Staples"": 0.05,
  ""Energy"": -0.05,
  ""Financials"": 0.15,
  ""Health Care"": 0.1,
  ""Industrials"": 0.25,
  ""Information Technology"": 0.2,
  ""Materials"": 0.1,
  ""Real Estate"": -0.25,
  ""Utilities"": -0.15,
  ""Communication Services"": 0.1
}"
04_16_2025,"{
  ""communication_services"": 0.05,
  ""consumer_discretionary"": -0.12,
  ""consumer_staples"": 0.03,
  ""energy"": 0.08,
  ""financials"": 0.1,
  ""health_care"": -0.18,
  ""industrials"": -0.22,
  ""information_technology"": -0.45,
  ""materials"": -0.2,
  ""real_estate"": -0.14,
  ""utilities"": 0.0
}"
04_17_2024,"{
  ""Consumer Discretionary"": 0.18,
  ""Consumer Staples"": 0.05,
  ""Energy"": -0.08,
  ""Financials"": 0.14,
  ""Health Care"": 0.02,
  ""Industrials"": -0.1,
  ""Information Technology"": 0.26,
  ""Materials"": 0.09,
  ""Real Estate"": -0.18,
  ""Utilities"": -0.04,
  ""Communication Services"": 0.11
}"
04_17_2025,"{
  ""CommunicationServices"": 0.25,
  ""ConsumerDiscretionary"": -0.1,
  ""ConsumerStaples"": 0.15,
  ""Energy"": -0.2,
  ""Financials"": 0.1,
  ""HealthCare"": -0.35,
  ""Industrials"": -0.15,
  ""InformationTechnology"": 0.05,
  ""Materials"": -0.25,
  ""RealEstate"": 0.2,
  ""Utilities"": 0.1
}"
04_18_2024,"{
  ""Information Technology"": 0.2,
  ""Health Care"": 0.0,
  ""Financials"": -0.2,
  ""Consumer Discretionary"": 0.05,
  ""Consumer Staples"": 0.0,
  ""Energy"": 0.15,
  ""Industrials"": -0.1,
  ""Materials"": -0.05,
  ""Utilities"": 0.0,
  ""Real Estate"": -0.1,
  ""Communication Services"": -0.05,
  ""S&P 500"": -0.05
}"
04_19_2024,"{""Communication Services"":0.4,""Consumer Discretionary"":0.1,""Consumer Staples"":-0.1,""Energy"":0.2,""Financials"":0.05,""Health Care"":0.0,""Industrials"":0.05,""Information Technology"":0.15,""Materials"":-0.05,""Real Estate"":-0.2,""Utilities"":0.1}"
04_21_2025,"{
  ""Communication Services"": 0.08,
  ""Consumer Discretionary"": -0.32,
  ""Consumer Staples"": 0.12,
  ""Energy"": -0.14,
  ""Financials"": -0.28,
  ""Health Care"": 0.05,
  ""Industrials"": -0.22,
  ""Information Technology"": -0.38,
  ""Materials"": -0.18,
  ""Real Estate"": -0.24,
  ""Utilities"": 0.02
}"
04_22_2024,"{""energy"":0.15,""materials"":0.05,""industrials"":0.12,""consumer_discretionary"":-0.18,""consumer_staples"":0.02,""health_care"":0.03,""financials"":0.08,""information_technology"":-0.05,""communication_services"":-0.02,""utilities"":0.04,""real_estate"":-0.22}"
04_22_2025,"{
  ""communication_services"": 0.2,
  ""consumer_discretionary"": -0.15,
  ""consumer_staples"": -0.25,
  ""energy"": 0.05,
  ""financials"": -0.55,
  ""health_care"": 0.1,
  ""industrials"": -0.35,
  ""information_technology"": -0.2,
  ""materials"": 0.25,
  ""real_estate"": -0.3,
  ""utilities"": 0.15
}"
04_23_2024,"{
  ""Communication Services"": 0.06,
  ""Consumer Discretionary"": -0.39,
  ""Consumer Staples"": 0.12,
  ""Energy"": 0.18,
  ""Financials"": -0.08,
  ""Health Care"": 0.03,
  ""Industrials"": -0.14,
  ""Information Technology"": -0.33,
  ""Materials"": -0.05,
  ""Real Estate"": -0.02,
  ""Utilities"": 0.04
}"
04_23_2025,"{""Communication Services"":0.55,""Consumer Discretionary"":0.42,""Consumer Staples"":0.08,""Energy"":-0.12,""Financials"":0.18,""Health Care"":0.05,""Industrials"":0.14,""Information Technology"":0.58,""Materials"":-0.22,""Real Estate"":-0.08,""Utilities"":0.04}"
04_24_2024,"{
  ""Communication Services"": 0.45,
  ""Consumer Discretionary"": 0.72,
  ""Consumer Staples"": 0.08,
  ""Energy"": -0.22,
  ""Financials"": 0.18,
  ""Health Care"": -0.28,
  ""Industrials"": 0.12,
  ""Information Technology"": 0.78,
  ""Materials"": -0.18,
  ""Real Estate"": 0.02,
  ""Utilities"": 0.01
}"
04_24_2025,"{""Communication Services"":0.05,""Consumer Discretionary"":-0.35,""Consumer Staples"":-0.45,""Energy"":-0.1,""Financials"":-0.2,""Health Care"":0.1,""Industrials"":-0.25,""Information Technology"":-0.1,""Materials"":-0.15,""Real Estate"":-0.05,""Utilities"":0.05}"
04_25_2024,"{
  ""communication_services"": 0.35,
  ""consumer_discretionary"": -0.15,
  ""consumer_staples"": 0.05,
  ""energy"": 0.1,
  ""financials"": 0.2,
  ""health_care"": 0.05,
  ""industrials"": -0.1,
  ""information_technology"": 0.15,
  ""materials"": 0.0,
  ""real_estate"": -0.05,
  ""utilities"": 0.0
}"
04_25_2025,"{""Industrials"":0.18,""Information Technology"":0.52,""Financials"":0.06,""Health Care"":-0.08,""Consumer Discretionary"":0.11,""Consumer Staples"":-0.22,""Energy"":-0.05,""Utilities"":0.0,""Real Estate"":-0.03,""Materials"":-0.12,""Communication Services"":0.38}"
04_26_2024,"{""Communication Services"":0.82,""Consumer Discretionary"":0.31,""Consumer Staples"":0.14,""Energy"":0.28,""Financials"":0.18,""Health Care"":0.06,""Industrials"":0.11,""Information Technology"":0.92,""Materials"":0.09,""Real Estate"":-0.12,""Utilities"":-0.05}"
04_28_2025,"{
  ""Communication Services"": 0.2,
  ""Consumer Discretionary"": 0.1,
  ""Consumer Staples"": -0.1,
  ""Energy"": -0.05,
  ""Financials"": -0.15,
  ""Health Care"": -0.1,
  ""Industrials"": -0.2,
  ""Information Technology"": 0.05,
  ""Materials"": -0.15,
  ""Real Estate"": -0.1,
  ""Utilities"": 0.0
}"
04_29_2025,"{""Communication Services"":-0.2,""Consumer Discretionary"":-0.7,""Consumer Staples"":-0.1,""Energy"":-0.5,""Financials"":-0.4,""Health Care"":-0.2,""Industrials"":-0.8,""Information Technology"":-0.3,""Materials"":-0.6,""Real Estate"":-0.4,""Utilities"":-0.3}"
04_30_2025,"{
  ""communication_services"": -0.45,
  ""consumer_discretionary"": -0.7,
  ""consumer_staples"": -0.35,
  ""energy"": -0.2,
  ""financials"": -0.55,
  ""health_care"": -0.25,
  ""industrials"": -0.65,
  ""information_technology"": -0.5,
  ""materials"": -0.6,
  ""real_estate"": -0.4,
  ""utilities"": -0.15
}"
05_01_2025,"{
  ""Communication Services"": 0.82,
  ""Consumer Discretionary"": -0.18,
  ""Consumer Staples"": -0.08,
  ""Energy"": -0.12,
  ""Financials"": -0.15,
  ""Health Care"": -0.05,
  ""Industrials"": -0.34,
  ""Information Technology"": 0.88,
  ""Materials"": -0.22,
  ""Real Estate"": 0.12,
  ""Utilities"": 0.05
}"
05_02_2024,"{""Communication Services"":0.62,""Consumer Discretionary"":0.58,""Consumer Staples"":0.42,""Energy"":0.19,""Financials"":0.36,""Health Care"":0.71,""Industrials"":0.24,""Information Technology"":0.68,""Materials"":0.14,""Real Estate"":-0.12,""Utilities"":0.05}"
05_02_2025,"{""Communication Services"":0.12,""Consumer Discretionary"":0.05,""Consumer Staples"":0.08,""Energy"":-0.18,""Financials"":0.07,""Health Care"":0.02,""Industrials"":-0.09,""Information Technology"":-0.04,""Materials"":-0.14,""Real Estate"":-0.03,""Utilities"":-0.01}"
05_03_2024,"{""Communication Services"":0.25,""Consumer Discretionary"":0.45,""Consumer Staples"":0.05,""Energy"":0.15,""Financials"":0.1,""Health Care"":0.35,""Industrials"":0.2,""Information Technology"":0.1,""Materials"":0.25,""Real Estate"":0.0,""Utilities"":-0.05}"
05_05_2025,"{
  ""Consumer Discretionary"": 0.12,
  ""Consumer Staples"": 0.08,
  ""Energy"": -0.48,
  ""Financials"": 0.18,
  ""Health Care"": 0.22,
  ""Industrials"": -0.22,
  ""Information Technology"": -0.18,
  ""Materials"": -0.14,
  ""Real Estate"": -0.05,
  ""Communication Services"": -0.24,
  ""Utilities"": 0.05
}"
05_06_2024,"{""Communication Services"":0.12,""Consumer Discretionary"":0.18,""Consumer Staples"":0.05,""Energy"":0.34,""Financials"":0.16,""Health Care"":0.09,""Industrials"":0.08,""Information Technology"":0.22,""Materials"":0.14,""Real Estate"":0.03,""Utilities"":0.04}"
05_06_2025,"{
  ""communication_services"": 0.05,
  ""consumer_discretionary"": -0.55,
  ""consumer_staples"": -0.45,
  ""energy"": -0.1,
  ""financials"": -0.15,
  ""health_care"": -0.35,
  ""industrials"": -0.4,
  ""information_technology"": -0.25,
  ""materials"": -0.2,
  ""real_estate"": -0.3,
  ""utilities"": -0.05
}"
05_07_2024,"{""Communication Services"":0.25,""Consumer Discretionary"":0.15,""Consumer Staples"":0.05,""Energy"":0.1,""Financials"":0.2,""Health Care"":0.0,""Industrials"":-0.35,""Information Technology"":0.3,""Materials"":0.0,""Real Estate"":0.05,""Utilities"":0.1}"
05_07_2025,"{""communication_services"":0.28,""consumer_discretionary"":0.34,""consumer_staples"":0.12,""energy"":-0.08,""financials"":0.05,""health_care"":0.18,""industrials"":0.02,""information_technology"":0.41,""materials"":0.0,""real_estate"":-0.02,""utilities"":0.1}"
05_08_2024,"{""Communication Services"":0.35,""Consumer Discretionary"":-0.25,""Consumer Staples"":0.05,""Energy"":0.1,""Financials"":-0.15,""Health Care"":0.0,""Industrials"":-0.2,""Information Technology"":0.2,""Materials"":0.1,""Real Estate"":0.15,""Utilities"":0.05}"
05_08_2025,"{
  ""Communication Services"": 0.15,
  ""Consumer Discretionary"": 0.35,
  ""Consumer Staples"": 0.05,
  ""Energy"": 0.1,
  ""Financials"": 0.2,
  ""Health Care"": 0.1,
  ""Industrials"": 0.25,
  ""Information Technology"": 0.45,
  ""Materials"": 0.2,
  ""Real Estate"": -0.05,
  ""Utilities"": 0.0
}"
05_09_2024,"{
  ""Consumer Discretionary"": 0.05,
  ""Consumer Staples"": -0.05,
  ""Energy"": 0.15,
  ""Financials"": 0.1,
  ""Health Care"": 0.0,
  ""Industrials"": -0.05,
  ""Information Technology"": -0.2,
  ""Materials"": 0.2,
  ""Real Estate"": 0.05,
  ""Utilities"": 0.05,
  ""Communication Services"": -0.1
}"
05_09_2025,"{
  ""S&P 500"": 0.35,
  ""Information Technology"": 0.45,
  ""Health Care"": 0.12,
  ""Financials"": 0.08,
  ""Consumer Discretionary"": 0.10,
  ""Consumer Staples"": -0.02,
  ""Energy"": 0.00,
  ""Industrials"": 0.18,
  ""Materials"": -0.05,
  ""Utilities"": 0.02,
  ""Real Estate"": 0.03,
  ""Communication Services"": 0.20
}"
05_10_2024,"{
  ""Communication Services"": 0.25,
  ""Consumer Discretionary"": -0.1,
  ""Consumer Staples"": 0.1,
  ""Energy"": -0.05,
  ""Financials"": 0.05,
  ""Health Care"": 0.2,
  ""Industrials"": 0.15,
  ""Information Technology"": 0.4,
  ""Materials"": -0.05,
  ""Real Estate"": -0.1,
  ""Utilities"": 0.2
}"
05_12_2025,"{
  ""Communication Services"": 0.55,
  ""Consumer Discretionary"": 0.75,
  ""Consumer Staples"": 0.25,
  ""Energy"": 0.15,
  ""Financials"": 0.35,
  ""Health Care"": -0.45,
  ""Industrials"": 0.5,
  ""Information Technology"": 0.85,
  ""Materials"": 0.3,
  ""Real Estate"": 0.2,
  ""Utilities"": 0.15
}"
05_13_2024,"{
  ""Information Technology"": 0.6,
  ""Health Care"": 0.35,
  ""Financials"": 0.15,
  ""Consumer Discretionary"": 0.1,
  ""Consumer Staples"": 0.05,
  ""Industrials"": 0.2,
  ""Energy"": -0.05,
  ""Materials"": 0.1,
  ""Utilities"": -0.1,
  ""Real Estate"": -0.2,
  ""Communication Services"": 0.45,
  ""S&P 500"": 0.3
}"
05_13_2025,"{
  ""communication_services"": 0.15,
  ""consumer_discretionary"": 0.25,
  ""consumer_staples"": -0.1,
  ""energy"": 0.05,
  ""financials"": 0.1,
  ""health_care"": -0.35,
  ""industrials"": 0.2,
  ""information_technology"": 0.35,
  ""materials"": 0.0,
  ""real_estate"": -0.1,
  ""utilities"": -0.3
}"
05_14_2024,"{""Consumer Discretionary"":0.12,""Consumer Staples"":0.06,""Energy"":0.18,""Financials"":0.08,""Health Care"":0.04,""Industrials"":0.1,""Information Technology"":0.14,""Materials"":0.16,""Real Estate"":-0.02,""Utilities"":0.03}"
05_14_2025,"{
  ""Consumer Discretionary"": 0.18,
  ""Consumer Staples"": 0.06,
  ""Energy"": 0.03,
  ""Financials"": 0.22,
  ""Health Care"": -0.08,
  ""Industrials"": 0.16,
  ""Information Technology"": 0.48,
  ""Materials"": 0.08,
  ""Real Estate"": -0.12,
  ""Utilities"": -0.03
}"
05_15_2025,"{""communication_services"":0.05,""consumer_discretionary"":-0.15,""consumer_staples"":0.2,""energy"":-0.2,""financials"":-0.1,""health_care"":-0.35,""industrials"":-0.1,""information_technology"":0.1,""materials"":-0.05,""real_estate"":-0.1,""utilities"":-0.05}"
05_16_2024,"{
  ""Financials"": 0.25,
  ""Health Care"": 0.0,
  ""Information Technology"": 0.35,
  ""Communication Services"": 0.15,
  ""Consumer Discretionary"": 0.4,
  ""Consumer Staples"": 0.55,
  ""Energy"": -0.1,
  ""Industrials"": 0.05,
  ""Materials"": -0.25,
  ""Utilities"": 0.05,
  ""Real Estate"": 0.1
}"
05_16_2025,"{
  ""Communication Services"": 0.45,
  ""Consumer Discretionary"": 0.22,
  ""Consumer Staples"": -0.08,
  ""Energy"": 0.18,
  ""Financials"": 0.12,
  ""Health Care"": 0.05,
  ""Industrials"": -0.04,
  ""Information Technology"": 0.55,
  ""Materials"": 0.02,
  ""Real Estate"": -0.12,
  ""Utilities"": -0.1
}"
05_17_2024,"{""Communication Services"":0.2,""Consumer Discretionary"":0.35,""Consumer Staples"":0.15,""Energy"":0.1,""Financials"":0.05,""Health Care"":0.1,""Industrials"":0.0,""Information Technology"":0.45,""Materials"":0.05,""Real Estate"":-0.1,""Utilities"":-0.05}"
05_19_2025,"{
  ""communication_services"": -0.15,
  ""consumer_discretionary"": -0.45,
  ""consumer_staples"": -0.35,
  ""energy"": -0.1,
  ""financials"": -0.55,
  ""health_care"": -0.25,
  ""industrials"": -0.3,
  ""information_technology"": -0.5,
  ""materials"": -0.15,
  ""real_estate"": -0.4,
  ""utilities"": -0.2
}"
05_20_2025,"{
  ""Communication Services"": 0.1,
  ""Consumer Discretionary"": -0.2,
  ""Consumer Staples"": -0.15,
  ""Energy"": 0.0,
  ""Financials"": -0.1,
  ""Health Care"": -0.05,
  ""Industrials"": -0.1,
  ""Information Technology"": 0.05,
  ""Materials"": -0.05,
  ""Real Estate"": -0.2,
  ""Utilities"": -0.1
}"
05_21_2024,"{
  ""communication_services"": 0.55,
  ""consumer_discretionary"": 0.1,
  ""consumer_staples"": 0.2,
  ""energy"": 0.05,
  ""financials"": 0.15,
  ""health_care"": 0.0,
  ""industrials"": 0.1,
  ""information_technology"": 0.7,
  ""materials"": 0.05,
  ""real_estate"": -0.1,
  ""utilities"": 0.35
}"
05_21_2025,"{
  ""Consumer Discretionary"": 0.25,
  ""Consumer Staples"": 0.15,
  ""Energy"": 0.05,
  ""Financials"": 0.2,
  ""Health Care"": -0.2,
  ""Industrials"": 0.1,
  ""Information Technology"": 0.35,
  ""Materials"": 0.0,
  ""Real Estate"": -0.1,
  ""Communication Services"": 0.2,
  ""Utilities"": 0.1
}"
05_22_2024,"{""Energy"":0.1,""Materials"":0.0,""Industrials"":0.05,""Consumer Discretionary"":-0.45,""Consumer Staples"":0.15,""Health Care"":0.05,""Financials"":-0.05,""Information Technology"":0.45,""Communication Services"":0.2,""Utilities"":0.1,""Real Estate"":-0.1}"
05_22_2025,"{""Communication Services"":0.05,""Consumer Discretionary"":0.10,""Consumer Staples"":0.00,""Energy"":-0.15,""Financials"":-0.25,""Health Care"":-0.20,""Industrials"":0.00,""Information Technology"":0.15,""Materials"":-0.05,""Real Estate"":-0.30,""Utilities"":-0.20}"
05_23_2024,"{
  ""information_technology"": 0.95,
  ""health_care"": 0.05,
  ""financials"": 0.15,
  ""consumer_discretionary"": 0.35,
  ""consumer_staples"": 0.0,
  ""energy"": -0.1,
  ""utilities"": 0.2,
  ""communication_services"": 0.25,
  ""industrials"": 0.1,
  ""materials"": 0.0,
  ""real_estate"": -0.05
}"
05_23_2025,"{""Communication Services"":0.15,""Consumer Discretionary"":-0.55,""Consumer Staples"":-0.2,""Energy"":0.05,""Financials"":-0.1,""Health Care"":-0.2,""Industrials"":-0.35,""Information Technology"":-0.45,""Materials"":-0.25,""Real Estate"":-0.15,""Utilities"":0.05}"
05_24_2024,"{
  ""Communication Services"": 0.35,
  ""Consumer Discretionary"": 0.15,
  ""Consumer Staples"": -0.1,
  ""Energy"": -0.05,
  ""Financials"": 0.05,
  ""Health Care"": 0.1,
  ""Industrials"": 0.1,
  ""Information Technology"": 0.45,
  ""Materials"": 0.2,
  ""Real Estate"": -0.2,
  ""Utilities"": -0.1
}"
05_28_2024,"{
  ""Communication Services"": 0.22,
  ""Consumer Discretionary"": 0.34,
  ""Consumer Staples"": 0.08,
  ""Energy"": 0.12,
  ""Financials"": -0.18,
  ""Health Care"": -0.05,
  ""Industrials"": 0.14,
  ""Information Technology"": 0.38,
  ""Materials"": 0.04,
  ""Real Estate"": -0.22,
  ""Utilities"": -0.12
}"
05_29_2024,"{""Communication Services"":0.25,""Consumer Discretionary"":-0.15,""Consumer Staples"":0.05,""Energy"":0.35,""Financials"":-0.1,""Health Care"":0.1,""Industrials"":-0.2,""Information Technology"":0.15,""Materials"":0.4,""Real Estate"":-0.25,""Utilities"":0.05}"
05_31_2024,"{""Consumer Discretionary"":0.35,""Consumer Staples"":-0.05,""Energy"":0.2,""Financials"":0.1,""Health Care"":-0.05,""Industrials"":0.15,""Information Technology"":-0.1,""Materials"":0.15,""Real Estate"":-0.55,""Utilities"":-0.15,""Communication Services"":-0.1}"
06_03_2024,"{
  ""Consumer Discretionary"": 0.15,
  ""Consumer Staples"": -0.1,
  ""Energy"": 0.05,
  ""Financials"": 0.0,
  ""Health Care"": 0.0,
  ""Industrials"": 0.1,
  ""Information Technology"": 0.55,
  ""Materials"": -0.05,
  ""Communication Services"": 0.2,
  ""Utilities"": 0.1,
  ""Real Estate"": 0.05
}"
06_05_2024,"{""Communication Services"":0.1,""Consumer Discretionary"":0.0,""Consumer Staples"":-0.05,""Energy"":0.1,""Financials"":0.05,""Health Care"":-0.1,""Industrials"":0.05,""Information Technology"":0.15,""Materials"":0.1,""Real Estate"":-0.2,""Utilities"":0.0}"
